iter (20241224_015629),psnr
1000,19.675012608846778
2000,20.337317058962018
3000,20.339706623366077
4000,20.55257297155352
5000,20.7131067727118
6000,20.563410490993874
7000,20.50845751498677
8000,20.635730075853516
9000,20.208709291441963
10000,20.256512536497315
11000,19.942032326925208
12000,21.404944944237744
13000,21.286050226337277
14000,20.971762675561898
15000,21.055915661762256
16000,21.130616233800403
17000,20.694126715380445
18000,21.755491849544384
19000,21.51715785614604
20000,21.079701967528187
21000,21.764122104298213
22000,20.503639873128275
23000,21.354325256478944
24000,20.564648358480426
25000,21.8459940954703
26000,21.86882394018795
27000,21.994954355661275
28000,21.62045693235323
29000,21.624379628881737
30000,21.74610414415791
31000,21.83264450691556
32000,21.973461984140044
33000,22.069282153476127
34000,22.070181349623077
35000,21.90091366077439
36000,21.278985934891647
37000,22.61371460522679
38000,22.023613434121987
39000,21.594035719573963
40000,23.43118760820431
41000,21.98066882215364
42000,22.71151494116071
43000,22.620940875202443
44000,23.30427509303272
45000,23.08165954470807
46000,22.352239322305177
47000,21.795816153667054
48000,22.250490646976832
49000,21.800890015499004
50000,22.90832867472958
51000,22.644956111097663
52000,22.875459822069576
53000,22.44291690963051
54000,21.75312838803798
55000,23.266584351582416
56000,22.335545646189246
57000,22.507929057342857
58000,22.35293309941326
59000,24.512528557678966
60000,21.800218531628165
61000,22.532218323803583
62000,23.06268581368284
63000,22.984683224408677
64000,23.06827658429126
65000,23.571205997312408
66000,22.72114581202232
67000,22.834527173486656
68000,22.416255274482328
69000,22.93752132882907
70000,22.94438393413389
71000,22.894538102614543
72000,23.43708883795396
73000,22.977998738994025
74000,23.017511925182013
75000,23.054241717571074
76000,22.82803683169599
77000,22.637475539354686
78000,23.11498905959051
79000,22.40013101863916
80000,23.089360344763872
81000,22.33803231498736
82000,22.97868563439024
83000,23.42850143011139
84000,22.752824174602114
85000,22.837022650473635
86000,23.60881836786325
87000,22.763359486343038
88000,23.5245124124306
89000,22.866959923397815
90000,23.717139962224415
91000,22.62208800828785
92000,23.22399769633057
93000,23.21435679081184
94000,21.851830626506974
95000,23.37202108304225
96000,23.23817838002117
97000,23.354472171457015
98000,23.67206303795803
99000,22.90145422454088
100000,22.67632124779583
101000,23.25941788877626
102000,22.14916861082244
103000,21.97799357717385
104000,22.90802885052525
105000,23.75215465774472
106000,23.23957446710294
107000,22.71808815563141
108000,23.138517158426986
109000,23.293981680464295
110000,22.69548186726296
111000,23.818985309191884
112000,23.769679878060693
113000,23.580565744545943
114000,22.696202202011477
115000,23.159456377898007
116000,21.884936433054982
117000,23.035745832315754
118000,23.474190722437232
119000,23.5756636917361
120000,23.520645284288435
121000,22.390733797076855
122000,23.506437515722805
123000,23.66062946092079
124000,23.254314384745435
125000,23.39202426697898
126000,23.657203030463794
127000,23.024611653609785
128000,23.575541237254434
129000,23.53858144090788
130000,23.428683892123534
131000,23.23251938322158
132000,23.430465857929146
133000,23.233852154622962
134000,23.67267505698627
135000,23.035198719093597
136000,23.023836713292024
137000,23.582799855792402
138000,24.07631641013938
139000,24.01146599488099
140000,23.982201025592072
141000,23.36126117637957
142000,23.784311343976704
143000,23.160676876248576
144000,24.040368207199815
145000,24.18059888867892
146000,23.156593400073415
147000,23.10295477933804
148000,23.972580100294735
149000,23.66097015054465
150000,22.88010300022287
151000,23.264944786163877
152000,23.497054225484717
153000,23.20642409422724
154000,23.696568506104352
155000,23.331341753320483
156000,23.64415214705814
157000,23.337280686554973
158000,23.309681664600717
159000,23.158314641099448
160000,22.99806507959268
161000,23.480309938237248
162000,23.579009056250687
163000,23.172393370360112
164000,23.836131467595308
165000,22.882544307683155
166000,23.586037945452976
167000,23.215960274320018
168000,23.549508867036646
169000,23.359507025473427
170000,23.67698433143015
171000,23.693528552468372
172000,24.034046661728457
173000,23.853138363510194
174000,23.835308334272643
175000,23.526237042441817
176000,23.521215877965904
177000,23.69747120748866
178000,23.678736797232954
179000,23.508204143415956
180000,23.55662659786694
181000,23.57411666116535
182000,23.295754442292047
183000,23.581897663774967
184000,23.599825042093844
185000,23.720970841442753
186000,23.60447848977521
187000,23.47782735982262
188000,23.525587889877624
189000,23.638164410450187
190000,23.51645325484659
191000,23.540564293042642
192000,23.44881412749073
193000,23.484535933900947
194000,23.494691435805894
195000,23.508330908897655
196000,23.430332091906187
197000,23.511205355504405
198000,23.55460362236139
199000,23.598404159888407
200000,23.3359274521253
